Provider Name,DBA (Doing Business As),Services Offered,Provider Phone,Primary E-mail Address,Secondary E-mail Address,Address,City,State,Zip Code,Primary Contact,Secondary Contact
"ELITE SENIOR CARE NORTH ARKANSAS DBA ALLHEART SENIORCARE NORTH ARKANSAS ","ALLHEART SENIORCARE NORTH ARKANSAS ","Attendant Care, Personal Care, Targeted Case Management, Respite, ","870-435-2123 ","justinhagood1980@yahoo.com",,"6289 HIGHWAY 62 WEST","GASSVILLE","AR","72635 ","JUSTIN HAGOOD ",
"GENESIS PARTNERS LLC DBA ARKANSAS HOME HELPERS","ARKANSAS HOME HELPERS","Attendant Care, Personal Emergency Response System, Personal Care, Targeted Case Management, Respite, ","479-246-0140","hgilder@homehelpersar.com",,"2815 WEST WALNUT SUITE B ","ROGERS","AR","72756","Haden Gilder",
"GRACON INC DBA HOME BOUND MEDICAL  ","HOME BOUND MEDICAL  ","Attendant Care, Respite, Targeted Case Management, Personal Care, ","870-425-2246","gayla@homeboundmedical.com",,"358 HIGHWAY 5 NORTH","MOUNTAIN HOME","AR","72653","GAYLA GRAY",
"HAGOOD HOLDINGS LLC DBA ALLHEART SENIOR CARE OF ARKANSAS","ALLHEART SENIOR CARE OF ARKANSAS","Attendant Care, Respite, Targeted Case Management, Personal Care, ","501-772-6779","jarred.allheartar@gmail.com","allheartar@gmail.com ","322 SOUTH STATE STREET SUITE 101 ","LITTLE ROCK","AR","72201","JARRED HAGOOD ",
"HOPE HOUSE HOME HEALTHCARE ","HOPE HOUSE HOME HEALTHCARE ","Attendant Care, Respite, Personal Care, ","870-549-3882","info@hopehouseonline.com",,"107 WEST MAIN STREET SUITE A ","BLYTHEVILLE ","AR","72315","CHANTEL lEWIS",
"INTERIOR INNOVATIONS LLC  ","INTERIOR INNOVATIONS LLC  ","Environmental Accessibility Adaptations/Adaptive Equipment, ","870-421-1398","INTERIORINNOVATIONS1@OUTLOOK.COM",,"3225 HIGHWAY 62 EAST SUITE 1","MOUNTAIN HOME","AR","72653","KERRY WARFORD",
"JKH HOME CARE LLC DBA ALLHEART SENIOR CARE","ALLHEART SENIOR CARE","Attendant Care, Respite, Targeted Case Management, Personal Care, ","870-215-0323","justin_hagood1980@yahoo.com",,"210 SOUTH ROCKINGCHAIR ROAD SUITE A","PARAGOULD","AR","72450","JUSTIN HAGOOD",
"LEFEATHER HOMECARE LLC","LEFEATHER HOMECARE LLC","Attendant Care, Respite, Personal Care, ","501-289-3507","jerriedaniels1@yahoo.com",,"400 W CAPITOL AVENUE SUITE 1700","LITTLE ROCK","AR","72201","JERRIE DANIELS",
"LHCG CV LLC DBA ELITE COMMUNITY-BASED SERVICES ","ELITE COMMUNITY-BASED SERVICES ","Attendant Care, Personal Care, Respite, Targeted Case Management, ","870-895-8005","lra@lhcgroup.com",,"110 HIGHWAY 62 WEST SUITE 2","SALEM","AR","72576","DANA NELSON",
"LIFELINE OF NORTHWEST ARKANSAS ","LIFELINE OF NORTHWEST ARKANSAS ","Personal Emergency Response System, ","479-254-0100","melanie@linelineofnwa.com","staff@lifelineofnew.com","810 NW 7TH STREET ","BENTONVILLE","AR","72712","MELANIE KERR",
"MARYMAN CONSTRUCTION","MARYMAN CONSTRUCTION","Environmental Accessibility Adaptations/Adaptive Equipment, ","501-681-0996","jmary8306@sbcglobal.net",,"6105 WILLIAMS AVE","WRIGHTSVILLE","AR","72183","JONATHAN MARYMAN",
"MEDGUARD ALERT INC","MEDGUARD ALERT INC","Personal Emergency Response System, ","800-716-1433 ","KCARDUCCI@MEDGUARDALERT.COM","SUPPORT@MEDGUARDALERT.COM","4250 VENETIAN LANE","FAYETTEVILLE","AR","72703","KEVIN CARDUCCI",
"MEDICAL MOBILITY EQUIPMENT ","MEDICAL MOBILITY EQUIPMENT ","Environmental Accessibility Adaptations/Adaptive Equipment, ","870-268-8300","medicalmobility@att.net",,"2321 E MATTHEWS","JONESBORO","AR","72401","DAVID DAWSON",
"OZARK ADULT PERSONAL CARE LLC ","OZARK ADULT PERSONAL CARE LLC","Attendant Care, Respite, Targeted Case Management, Personal Care, ","870-368-4419","Jill.Wiles@ozarkpersonalcare.com",,"1234 EAST MAIN SUITE A","MELBOURNE","AR","72653","JILL WILES",
"OZARK ADULT PERSONAL CARE LLC","OZARK ADULT PERSONAL CARE LLC","Personal Care, Attendant Care, Respite, Targeted Case Management, ","870-368-4419","jill.wiles@ozarkadultpersonalcare.com",,"940 EAST 9TH STREET SUITE 1 ","MOUNTAIN VIEW","AR","72653","JILL WILES",
"OZARK ADULT PERSONAL CARE LLC","OZARK ADULT PERSONAL CARE LLC","Personal Care, Respite, Attendant Care, ","870-368-4419","jill.wiles@ozarkadultpersonalcare.com",,"506 EAST MAIN STREET","MOUNTAIN VIEW","AR","72560","JILL WILES",
"QUALITY SENIOR CARE, INC","QUALITY SENIOR CARE, INC","Attendant Care, Respite, Targeted Case Management, Personal Care, ","501-778-7000","qualityseniorcare2002@gmail.com",,"17724 HWY I30 NORTH SUITE 5","BENTON","AR","72019","Andrea Scoles","Tara Hollinger"
"SOUTHERN CAREGIVERS LTD ","SOUTHERN CAREGIVERS LTD ","Attendant Care, Personal Care, Respite, Targeted Case Management, ","870-308-5132","jhooper@southerncaregiversar.com",,"106 SOUTH WASHINGTON STREET","MAGNOLIA","AR","71753","Jennifer Hooper ",
"SUPERIOR SENIOR CARE INC ","SUPERIOR SENIOR CARE INC ","Personal Emergency Response System, ","501-321-1743","CORPORATE@SUPERIORSENIORCARE.COM","CORPORATE@SUPERIORSENIORCARE.COM","620 OUACHITA AVENUE","HOT SPRINGS","AR","71901","RIANNA ROWLAND",
"SUPERIOR SENIOR CARE","SUPERIOR SENIOR CARE","Attendant Care, Personal Care, Respite, Targeted Case Management, ","501-321-1743","corporate@superiorseniorcare.com",,"624 HIGHWAY 62 EAST","MOUNTAIN HOME ","AR","72653","RIANNA ROWLAND",
"THREE RIVERS SENIOR SERVICES INC DBA HOME INSTEAD SR CARE ","HOME INSTEAD SR CARE ","Attendant Care, Respite, Personal Care, ","870-425-0700","elaine.morris@homeinstead.com",,"124 HIGHWAY 201 NORTH","MOUNTAIN HOME","AR","72653","ELAINE MORRIS",
"JASPER CAMPBELL DBA TODAY'S LOVING CARE COMMUNITY OUTREACH","TODAY'S LOVING CARE COMMUNITY OUTREACH","Attendant Care, Personal Care, Respite, ","479-301-8427","jtlccocare@gmail.com",,"31 EAST CENTER STREET SUITE 200J","FAYETTEVILLE","AR","72701","JASPER CAMPBELL",
"TOWNSEND HEALTHCARE LLC","TOWNSEND HEALTHCARE LLC","Attendant Care, Personal Care, Respite, Targeted Case Management, ","870-269-5393","info@townsendhealthcare.com","CAROLINE@TOWNSENDHEALTHCARE.COM","431 SYLAMORE AVENUE","MOUNTAIN VIEW","AR","72560","MEGANNE TOWNSEND","CAROLINE POWELL"
"WHITE RIVER AREA AGENCY ON AGING INC ","WHITE RIVER AREA AGENCY ON AGING INC ","Attendant Care, Personal Emergency Response System, Personal Care, Respite, Targeted Case Management, ","870-612-3000","tracy.baxter@wraaa.com",,"3998 HARRISON STREET ","BATESVILLE","AR","72501","TRACY BAXTER ","NICOLE YORK"
"VALUED RELATIONSHIPS INC  ","VALUED RELATIONSHIPS INC  ","Personal Emergency Response System, ","855-206-5924","contracts@vricares.com",,"400 WEST CAPITOL AVENUE SUITE 1700","LITTLE ROCK","AR","72201","ANNALAURA REHWINKEL",
"KRM MANAGEMENT LLC DBA HAPPY HOMECARE   ","HAPPY HOMECARE   ","Personal Care, Respite, ","512-239-8415","karen@krm-ar.com",,"432 OUACHITA AVENUE","HOT SPRINGS","AR","71901","KAREN MITCHELL",
"EVERYFIT INC DBA QMEDIC","QMEDIC","Personal Emergency Response System, ","877-241-2244","rgrossier@qmedichealth.com",,"900 SOUTHEAST 5TH STREET SUITE 22","BENTONVILLE","AR","72712","REBECCA GROISSER",
"ALL AGES HOME CARE SERVICES INC  ","ALL AGES HOME CARE SERVICES INC  ","Attendant Care, Respite, Personal Care, ","501-623-2000","allageshomecare094@gmail.com",,"618 HOBSON AVENUE   PO BOX 21172","HOT SPRINGS","AR","71913","RACHEL SWENINGSON",
"BRADFORDS CONSTRUCTION  ","BRADFORDS CONSTRUCTION  ","Environmental Accessibility Adaptations/Adaptive Equipment, ","870-405-7055","rjbrad@outlook.com",,"2023 BUZZARD ROOST ROAD","MOUNTAIN HOME","AR","72653","JEFFREY E BRADFORD SR",
"ALARM PROTECTION SERVICES INC ","ALARM PROTECTION SERVICES INC ","Personal Emergency Response System, ","870-698-2079","apsinc@sbcglobal.net",,"2910B HARRISON STREET","BATESVILLE","AR","72501","SUMMER MCHALFFEY",
"CONNECT AMERICA.COM LLC","CONNECT AMERICA.COM LLC","Personal Emergency Response System, ","800-215-4205","MITCH.CABIN@CONNECTAMERICA.COM",,"701 SOUTH STREET, SUITE 100","MOUNTAIN HOME","AR","72653","MITCH CABIN",
"BLACKMON CARE HOME CARE","BLACKMON CARE HOME CARE","Attendant Care, Personal Care, ","501-256-6203","info@blackmoncareservices.com",,"3008 University AVE","Little Rock","AR","72204","Lonzell Blackmon",
"AT HOME HELPERS LLC","AT HOME HELPERS LLC","Attendant Care, Personal Care, Respite, ","501-697-5303","TERRA.BOYKIN.@YAHOO.COM",,"249 SOUTH MAIN STREET","TYRONZA","AR","72386","TERRA BOYKIN",
"CARING FROM THE HEART AGENCY LLC","CARING FROM THE HEART AGENCY LLC","Attendant Care, Personal Care, Respite, ","501-749-7926","lisadick50@gmail.com",,"10515 WEST MARKHAM ","LITTLE ROCK ","AR","72205","LISA DICK",
"ODYSSEY HEALTHCARE OPERATING A LP DBA GENTIVA","GENTIVA","Attendant Care, Respite, Targeted Case Management, Personal Care, ","870-412-4141","RICHARD.BRUNER@GENTIVAHS.COM",,"420 W GAINES ST SUITE 1 "," MONTICELLO","AR","71655","RICHARD BRUNER",
"ODYSSEY HEALTHCARE OPERATING A LP DBA GENTIVA","GENTIVA","Attendant Care, Respite, Personal Care, Targeted Case Management, ","870-368-3474","RICHARD.BRUNER@GENTIVAHS.COM",,"14 ARNOLD SPRINGS RD STE C ","MELBOURNE","AR"," 72556","RICHARD BRUNER",
"ODYSSEY HEALTHCARE OPERATING A LP DBA GENTIVA","GENTIVA","Attendant Care, Respite, Targeted Case Management, Personal Care, ","870-527-2186","RICHARD.BRUNER@GENTIVAHS.COM",,"115 WEST CYPRESS STREET","BRINKLEY","AR","72021","RICHARD BRUNER",
"ODYSSEY HEALTHCARE OPERATING A LP DBA GENTIVA","GENTIVA","Attendant Care, Personal Care, Respite, Targeted Case Management, ","479-225-9016","RICHARD.BRUNER@GENTIVAHS.COM",,"2961 POINTE CIRCLE SUITE 202","FAYETTEVILLE","AR","72704","RICHARD BRUNER",
"ODYSSEY HEALTHCARE OPERATING A LP DBA GENTIVA","GENTIVA","Attendant Care, Targeted Case Management, Respite, Personal Care, ","210-722-0762","RICHARD.BRUNER@GENTIVAHS.COM",,"105 EAST CRANDALL AVE STE B ","HARRISON","AR","72601","RICHARD BRUNER",
"ODYSSEY HEALTHCARE OPERATING A LP DBA GENTIVA","GENTIVA","Personal Care, Attendant Care, Respite, Targeted Case Management, ","210-722-0762","RICHARD.BRUNER@GENTIVAHS.COM",,"203 SOUTH MAIN STREET ","HOPE","AR","71801","RICHARD BRUNER",
"ODYSSEY HEALTHCARE OPERATING A LP DBA GENTIVA","GENTIVA","Attendant Care, Personal Care, Respite, Targeted Case Management, ","210-722-0762","RICHARD.BRUNER@GENTIVAHS.COM",,"200 NORTH SECOND STREET ","PARAGOULD","AR","72450","RICHARD BRUNER",
"ODYSSEY HEALTHCARE OPERATING A LP DBA GENTIVA","GENTIVA","Attendant Care, Respite, Personal Care, Targeted Case Management, ","678-449-0503","lilly.miles@gentivahs.com",,"222 W WASHINGTON STREET ","Camden","AR","71701","LILLY MILES ",
"ODYSSEY HEALTHCARE OPERATING A LP DBA GENTIVA","GENTIVA","Attendant Care, Respite, Targeted Case Management, Personal Care, ","210-722-0762","RICHARD.BRUNER@GENTIVAHS.COM",,"10800 FINANCIAL CENTRE PARKWAY SUITE 330 ","LITTLE ROCK","AR","72211","RICHARD BRUNER",
"ODYSSEY HEALTHCARE OPERATING A LP DBA GENTIVA","GENTIVA","Attendant Care, Personal Care, Respite, Targeted Case Management, ","479-637-0914","RICHARD.BRUNER@GENTIVAHS.COM",,"72 W 2ND ST  ","WALDRON","AR","72958","RICHARD BRUNER",
"ODYSSEY HEALTHCARE OPERATING A LP DBA GENTIVA","GENTIVA","Attendant Care, Respite, Targeted Case Management, Personal Care, ","479-219-6950","RICHARD.BRUNER@GENTIVAHS.COM",,"2504 W MAIN ST SUITE D C ","RUSSELLVILLE ","AR"," 72801","RICHARD BRUNER",
"ALERT MEDICAL ALARMS INC","ALERT MEDICAL ALARMS INC","Personal Emergency Response System, ","800-716-8035","CHRISTINAVASQUES@ALERTMEDICALALARMS.COM",,"701 SOUTH ST SUITE 100 ","MOUNTAIN HOME","AR"," 72653","CHRISTINA VASQUES",
"PALCO CHOICE INC","PALCO CHOICE INC","Attendant Care, Personal Care, ","501-604-9936","Arkansas@palcochoice.com  ",,"17300 CHENAL PARKWAY SUITE 300 ","LITTLE ROCK","AR","72223","VICTORIA EVANS",
"Saving Grace Health Care LLC","Saving Grace Health Care LLC","Attendant Care, ","8703083778","ann.johnson@savinggracehealthcare.org",,"204 M Trotter St","Dermott","AR","71638-1640","Elmer Ann Johnson",
"SAT & CWT LLC ","SAT & CWT LLC ","Personal Care, Respite, ","8704953138","carolina@townsendhealthcare.com",,"600 3RD ST STUITE B ","NEWPORT","AR","72112-3218","CAROLINA POWELL",
"LOVIN GRACE HOME CARE SERVICES LLC","LOVIN GRACE HOME CARE SERVICES LLC","Attendant Care, Personal Care, Respite, ","870-394-4780","LOVINGRACEHCS@GMAIL.COM",,"110 W POLK AVE","WEST MEMPHIS","AR","72301","SYLIVIA ROBINSON",
"HAPPY HEARTS HOME HEALTH SERVICES LLC","HAPPY HEARTS HOME HEALTH SERVICES LLC","Attendant Care, Personal Care, ","8706354160","happyheartllc1@yahoo.com",,"310 MID CONTINENT PLAZA","WEST MEMPHIS ","AR","72301","GEORGETTE BROADWAY",
"ELECTRONIC CAREGIVER INC","ELECTRONIC CAREGIVER INC","Personal Emergency Response System, ","5755413834","ranaya@ecg-hq.com","medicaidmarket@ecg-hq.com","710 SOUTH STREET SUITE 100","MOUNTAIN HOME","AR","72653","RACHEL ANAYA",
