"Agency Name","Agency URL","Street Address 1","Street Address 2",City,State,Zip,Phone,"Phone 2","Toll-Free Phone",Fax,"Preferred Email","First Name","Last Name","Employee Title"
"Clark County Community Services",https://www.clarkcountywi.com/community-services,"517 Court Street","Room 503",Neillsville,Wisconsin,54456,715-743-5198,,,715-620-0420,community.services@co.clark.wi.us,Sue,Voigt,Director
"Clark County Department of Social Services",https://www.clarkcountywi.com/social-services,"517 Court Street",,Neillsville,Wisconsin,54456-1971,715-743-5233,,,715-743-5242,shauna.o'keefe@co.clark.wi.us,Shauna,O'Keefe,Director
"Columbia County Department of Health & Human Services",https://www.co.columbia.wi.us/columbiacounty/hhs/HealthHumanServicesHome/tabid/…,"111 E. Mullett Street","PO Box 136",Portage,Wisconsin,53901,608-742-9227,,,608-742-9700,DHHS@columbiacountywi.gov,Heather,Gove,Director
"Crawford County Health & Human Services Department",https://www.crawfordcountywi.org/,"225 N Beaumont Road","Suite 326","Prairie du Chien",Wisconsin,53821,608-326-0248,,,608-326-4395,humanservices@co.crawford.wi.gov,Dan,McWilliams,Director
"Dane County Department of Human Services",https://www.danecountyhumanservices.org/,"1202 Northport Dr.",,Madison,Wisconsin,53704,608-242-6200,,,608-242-6293,humanservices@danecounty.gov,John,Schlueter,Director
"Dodge County Human Services & Health Department",https://www.co.dodge.wi.gov/departments/departments-e-m/human-services-health-d…,"199 County Road DF",,Juneau,Wisconsin,53039,920-386-3500,,,920-386-3533,rbell@co.dodge.wi.us,Rebecca,Bell,Director
"Door County Health and Human Services Department",https://www.co.door.wi.gov/,"421 Nebraska Street",,"Sturgeon Bay",Wisconsin,54235,920-746-7155,,,920-746-2439,dhs@co.door.wi.gov,Joseph,Krebsbach,Director
"Douglas County Department of Health & Human Services",https://www.douglascountywi.org/228/Health-Human-Services,"1316 N. 14th Street, Suite 400",,Superior,Wisconsin,54880,715-395-1304,,,715-395-1370,Anna.Carlson@douglascountywi.gov,Anna,Carlson,Director
"Dunn County Department of Human Services",https://www.co.dunn.wi.us/humanservices,"3001 US Highway 12 East, Suite 160",,Menomonie,Wisconsin,54751,715-231-2755,,,715-232-5987,dhs@dunncountywi.gov,Paula,Winter,Director
"Eau Claire County Department of Human Services",https://www.eauclairecounty.gov/departments/human_services/index.php,"721 Oxford Avenue, Suite 1001",,"Eau Claire",Wisconsin,54703,715-839-2300,,,715-589-8703,humanservices@co.eau-claire.wi.us,Angela,Weideman,Director
"Florence County Human Services Department",https://www.florencecountywi.com/departments/?department=3bc4e37d886b,"501 Lake Ave.","PO Box 225",Florence,Wisconsin,54121,888-452-3296,715-528-3296,,715-528-3341,annprice@florencecountywi.gov,Ann,Price,Director
"Fond du Lac County Department of Human Services",https://www.fdlco.wi.gov/departments/departments-a-e/community-programs,"400 University Drive, Suite A1",,"Fond du Lac",Wisconsin,54935,920-929-7052,920-929-3500,,920-929-3129,dhs@fdlco.wi.gov,Geri,Vanevenhoven,Director
"Forest County Human Services Department",https://co.forest.wi.gov/human-services-depart,"200 E Madison Street",,Crandon,Wisconsin,54520,715-478-3351,,,715-478-2847,nicole.w@co.forest.wi.gov,Nicole,Winkler,Director
"Grant County - Unified Community Services",http://www.co.grant.wi.gov/localgov_departments_details.asp?deptid=417&locid=147,"200 W. Alona Lane",,Lancaster,Wisconsin,53813,608-723-6357,,,608-723-4417,smurdah@unifiedservices.org,Sue,Freeman,Director
"Grant County Department of Social Services",http://www.co.grant.wi.gov/localgov_departments_details.asp?deptid=411&locid=147,"8820 Hwy 35/61/81 Suite 1400",,Lancaster,Wisconsin,53813,608-723-2136,,,608-723-4834,cfishnick@co.grant.wi.gov,CeCe,Fishnick,Director
"Green County Human Services Department",https://wi-greencounty.civicplus.com/175/Human-Services,"N3152 State Road 81",,Monroe,Wisconsin,53566,608-328-9393,,,608-328-9480,Dwilliams@gchsd.org,Daniel,Williams,Director
"Green Lake County Department of Health & Human Services",https://www.co.green-lake.wi.us/departments/health-human-services/,"571 County Road A",,"Green Lake",Wisconsin,54941,920-294-4070,800-664-3588,,920-294-4139,glcdhhs@greenlakecountywi.gov,Jason,Jerome,Director
"Iowa County - Unified Community Services",http://www.co.grant.wi.gov/localgov_departments_details.asp?deptid=417&locid=147,"200 West Alona Lane",,Lancaster,Wisconsin,53813,608-723-6357,,,608-723-4417,smurdah@unifiedservices.org,Sue,Freeman,Director
"Iowa County Department of Social Services",https://www.iowacounty.org/departments/socialservices/socialservices.shtml,"303 W. Chapel Street, Suite 2300",,Dodgeville,Wisconsin,53533,608-930-9801,,,608-471-1081,icdss@iowacounty.org,Vacant,Director,
"Iron County Human Services Department",https://www.co.iron.wi.gov/240/Human-Services,"300 Taconite Street Suite 201",,Hurley,Wisconsin,54534,715-561-3636,,,715-561-2128,ironhsd@ironcountywi.org,Cally,Bucknell,Director
"Jackson County Department of Health & Human Services",https://www.co.jackson.wi.us/dhhs,"421 County Road R","PO Box 457","Black River Falls",Wisconsin,54615,715-284-4301,,,715-284-7713,DHHS-JC@jacksoncountywi.gov,Carly,Keller,"Interim Director"
"Jefferson County Human Service Department",https://www.jeffersoncountywi.gov/human_services/index.php,"1541 Annex Road",,Jefferson,Wisconsin,53549,920-674-3105,,,920-674-6113,BrentR@Jeffersoncountywi.gov,Brent,Ruehlow,Director
"Juneau County Department of Human Services",https://www.co.juneau.wi.gov/departments/department_of_human_services/index.php,"200 Hickory Street",,Mauston,Wisconsin,53948,608-847-9472,608-847-2400,,608-847-9421,dhs2@co.juneau.wi.us,Dawn,Buchholz,Director
"Kenosha County Department of Human Services",https://www.kenoshacountywi.gov/150/Human-Services,"8600 Sheridan Road, Suite 100",,Kenosha,Wisconsin,53143,262-697-4500,,,262-697-4655,john.jansen@kenoshacountywi.gov,John,Jansen,Director
"Kewaunee County Department Of Human Services",https://www.kewauneeco.org/departments/human-services/,"810 Lincoln Street",,Kewaunee,Wisconsin,54216,920-255-5457,,,920-388-7124,annoye.melissa@kewauneeco.org,Melissa,Annoye,Director
"La Crosse County Human Services Department",https://www.lacrossecounty.org/humanservices,"300 N. 4th Street North","PO Box 4002","La Crosse",Wisconsin,54601,608-784-4357,,,608-785-6122,jwitt@lacrossecounty.org,Jason,Witt,Director
"Lafayette County Human Services",https://www.lafayettecountywi.org/human-services,"15701 County Road K Suite 3","PO Box 130",Darlington,Wisconsin,53530-0130,608-776-4800,,800-208-4011,833-464-0892,info@lchsd.org,Shane,Schuhmacher,Director
"Langlade County - North Central Community Services Program",https://www.norcen.org/,"1100 Lake View Drive",,Wausau,Wisconsin,54403,715-848-4405,,,715-848-2362,info@norcen.org,Jason,Hake,"Executive Director"
"Langlade County Department of Social Services",https://www.co.langlade.wi.us/departments/social-services/,"1225 Langlade Road",,Antigo,Wisconsin,54409,715-627-6200,715-627-6500,,715-627-6295,dss@co.langlade.wi.us,Rachel,Ramer,Director
"Lincoln County - North Central Community Services Program",https://www.norcen.org/,"1100 Lake View Drive",,Wausau,Wisconsin,54403,715-848-4405,,,715-848-2362,info@norcen.org,Jason,Hake,"Executive Director"
"Lincoln County Department of Social Services",https://co.lincoln.wi.us/social-services,"607 N Sales Street Ste. 202",,Merrill,Wisconsin,54452,715-536-9700,,,,jessi.rumsey@co.lincoln.wi.us,Jessi,Rumsey,Director
"Manitowoc County Human Services Department",https://manitowoccountywi.gov/departments/human-services,"926 S. 8th Street",,Manitowoc,Wisconsin,54221,206-834-230,,800-794-7684,920-683-4908,LoriFure@manitowoccountywi.gov,Lori,Fure,Director
"Marathon County - North Central Community Services Program",https://www.norcen.org/,"1100 Lake View Drive",,Wausau,Wisconsin,54403,715-848-4405,,,715-848-2362,info@norcen.org,Jason,Hake,"Executive Director"
"Marathon County Department Of Social Services",https://www.marathoncounty.gov/about-us/departments/social-services,"1000 Lake View Drive, Suite 400",,Wausau,Wisconsin,54403,715-261-7500,,,715-261-7510,socialservices@co.marathon.wi.us,Christa,Jensen,Director
"Marinette County Health & Human Services Department",https://www.marinettecounty.com/departments/health-and-human-services/general-i…,"2500 Hall Avenue, Suite B",,Marinette,Wisconsin,54143,715-732-7700,,,715-732-7766,Melissa.Freeman@marinettecountywi.gov,Melissa,Freeman,Director
"Marquette County Department of Human Services",https://www.co.marquette.wi.us/departments/human-services,"428 Underwood Avenue",,Montello,Wisconsin,53949,608-297-3124,,,608-297-8718,mcdhs@marquettecountywi.gov,Mandy,Stanley,Director
"Menominee County Human Services Dept",https://www.co.menominee.wi.us/departments/?department=f55aeda5c4b7,"PO Box 280",,Keshena,Wisconsin,54135,715-799-3861,,,715-799-3517,swilber@co.menominee.wi.us,Shannon,Wilber,"Executive Director"
"Milwaukee County Department of Health & Human Services",https://county.milwaukee.gov/EN/DHHS,"1230 W. Cherry Street",,Milwaukee,Wisconsin,53205,414-289-6311,414-289-6897,,414-289-8570,shakita.lagrant@milwaukeecountywi.gov,Shakita,LaGrant-McClain,Director
"Monroe County Department Of Human Services",https://www.co.monroe.wi.us/departments/human-services,"210 West Oak Street",,Sparta,Wisconsin,54656,608-269-8600,,,608-269-8935,HumanServices@co.monroe.wi.us,Tracy,Thorsen,Director
"Oconto County Department Of Health And Human Services",https://www.co.oconto.wi.us/247/Health-Human-Services,"501 Park Avenue",,Oconto,Wisconsin,54153,920-834-7000,,,920-834-6889,scott.shackelford@co.oconto.wi.us,Scott,Shackelford,Director
"Oneida County Human Service Department",https://www.oneidacountywi.gov/departments/hsd/,"PO Box 400, 1 S. Oneida Ave",,Rhinelander,Wisconsin,54501,715-362-5695,715-369-2215,,715-362-7910,oneidadss@oneidacountywi.gov,Beth,Hoerchler,Director
"Outagamie County Department of Health & Human Services",https://www.outagamie.gov/County-Services/Health-Human-Services,"320 S. Walnut Street",,Appleton,Wisconsin,54911,920-832-4741,,,920-832-5164,humansvc@outagamie.org,Beth,Roberts,Director
"Ozaukee County Department of Human Services",https://www.co.ozaukee.wi.us/252/Human-Services,"121 W. Main Street","PO Box 994","Port Washington",Wisconsin,53074-0094,262-284-8200,,,262-284-8103,dhs@ozaukeecounty.gov,Kim,Falkner,Director
"Pepin County Department of Human Services",https://www.co.pepin.wi.us/index.asp?SEC=E67215E3-E127-43F5-9E22-89C682447AB4&T…,"740 7th Avenue, West",,Durand,Wisconsin,54736,715-672-8942,,,920-944-3065,pepindhs@co.pepin.wi.us,Matt,Roesler,Director
"Pierce County Department Of Human Services",https://www.co.pierce.wi.us/departments/human_services/index.php,"412 West Kinne Street","PO Box 670",Ellsworth,Wisconsin,54011,715-273-6766,715-273-6770,,715-273-6862,piercdhs@co.pierce.wi.us,Julie,Krings,Director
"Polk County Community Services Division",https://www.polkcountywi.gov/polkcountycomms/,"100 Polk County Plaza #180",,"Balsam Lake",Wisconsin,54810,715-485-8400,,,715-500-2732,CSDGeneral@polkcountywi.gov,Tonya,Eichelt,Director
"Portage County Health & Human Services Department",https://www.co.portage.wi.gov/199/Health-Human-Services,"817 Whiting Avenue",,"Stevens Point",Wisconsin,54481,715-345-5350,,866-920-2525,715-345-5966,pchhsd@co.portage.wi.gov,Jessica,Hake,Director
"Price County Health and Human Services Department",https://co.price.wi.us/190/Health-Human-Services,"104 South Eyder Ave.","PO Box 88",Phillips,Wisconsin,54555-0088,715-339-2158,,,715-339-4018,sarah.reese-socha@pricecounty.wi.gov,Sarah,Reese-Socha,Director
"Racine County Human Services Department",https://www.racinecounty.gov/departments/hsd,"1717 Taylor Avenue",,Racine,Wisconsin,53403-2497,262-638-6646,,,,CSRHSD@racinecounty.gov,Hope,Otto,Director
"Richland County Health & Human Services Department",https://hhs.co.richland.wi.us/,"221 W. Seminary Street",,"Richland Center",Wisconsin,53581,608-649-5751,,,608-647-6611,stephanie.ronnfeldt@co.richland.wi.us,Stephanie,Ronnfeldt,Director
"Rock County Human Services Department",https://www.co.rock.wi.us/departments/human-services,"1717 Center Ave","PO Box 1649",Janesville,Wisconsin,53546,608-757-5200,,,608-757-5374,katherine.luster@co.rock.wi.us,Katherine,Luster,Director
"Rusk County Health & Human Services Department",https://ruskcounty.org/hhs,"311 E. Miner Avenue, Suite C240",,Ladysmith,Wisconsin,54848,715-532-2299,,,715-532-2126,rchhs@ruskcountywi.us,Ashley,Nelson,"Executive Director"
"Sauk County Department Of Human Services",https://www.co.sauk.wi.us/humanservices,"505 Broadway Street, 4th Floor","PO Box 29",Baraboo,Wisconsin,53913,608-355-4200,,,608-355-4299,jessica.mijal@saukcountywi.gov,Jessica,Mijal,Director
"Sawyer County Health & Human Services",https://www.sawyercountygov.org/150/Health-Human-Services,"10610 Main St.","Suite 224",Hayward,Wisconsin,54843,715-638-3423,,,715-634-3580,jlyons@sawyercounty.gov,Julia,Lyons,Director
"Shawano County Department of Human Services",https://www.co.shawano.wi.us/departments/human-services/general-information/,"W7327 Anderson Avenue",,Shawano,Wisconsin,54166,715-526-4700,,,715-526-5542,Rick.Kane@shawanocountywi.gov,Richard,Kane,Director
"Sheboygan County Health & Human Service Department",https://www.sheboygancounty.com/departments/departments-f-q/health-and-human-se…,"1011 N 8th Street",,Sheboygan,Wisconsin,53081,920-459-6400,,,920-459-4353,human.services@sheboygancounty.com,Matt,Strittmater,Director
"St. Croix County Health & Human Services Department",https://www.sccwi.gov/,"1752 Dorset Lane",,"New Richmond",Wisconsin,54017,715-246-6991,,,715-246-8284,Bob.Rohret@sccwi.gov,Bob,Rohret,Director
"Taylor County Human Services Department",https://co.taylor.wi.us/hs/,"540 E. College St.",,Medford,Wisconsin,54451,715-748-3332,,,715-748-3342,tchsd@co.taylor.wi.us,Suzanne,Stanfley,Director
"Trempealeau County Department of Human Services",https://co.trempealeau.wi.us/departments/service_departments/human_services/ind…,"18600 Hobson Street",,Whitehall,Wisconsin,54773,715-538-2311,,877-538-2311,715-538-4274,Jay.hein@co.trempealeau.wi.us,Jay,Hein,Director
"Vernon County Department of Human Services",https://www.vernoncountywi.gov/departments/department_of_human_services/index.p…,"318 Fairlane Drive, Suite 100",,Viroqua,Wisconsin,54665,608-637-5230,608-637-5210,,608-637-5505,humanservices@vernoncountywi.gov,Jill,Bender,Director
"Vilas County Human Services Department",https://www.vilascountywi.gov/departments/services/social_services/index.php,"330 Court Street",,"Eagle River",Wisconsin,54521,715-479-3668,,,715-479-3728,vilashsd@vilascountywi.gov,Valarie,Wielhouwer,Director
"Walworth County Department of Health & Human Services",https://www.co.walworth.wi.us/1006/Health-and-Human-Services,"1910 County Road NN",,Elkhorn,Wisconsin,53121,262-741-3200,,,262-741-3217,walcohhs@co.walworth.wi.us,Carlo,Nevicosi,Director
"Washburn County Health and Human Services Department",https://www.co.washburn.wi.us/departments/health-human-services/,"304 Second Street",,"Shell Lake",Wisconsin,54871,715-468-4747,,866-845-0734,715-468-1588,humanser@co.washburn.wi.us,Marie,Schrankel,Director
"Washington County Health and Human Services Department",https://www.washcowisco.gov/departments/health___human_services,"333 E. Washington Street","PO Box 2003","West Bend",Wisconsin,53095,262-335-4600,,800-616-0446,262-335-4600,julie.driscoll@washcowisco.gov,Julie,Driscoll,Director
"Washington County Health and Human Services Department",https://www.washcowisco.gov/departments/health___human_services,"333 E. Washington Street","Suite 3100","West Bend",Wisconsin,53095-2003,262-335-4600,,800-616-0446,262-335-6827,Sandy.Hoefert@washcowisco.gov,Sandy,Hoefert,"Deputy Director"
"Waukesha County Department Of Health & Human Services",https://www.waukeshacounty.gov/hhs,"514 Riverview Avenue",,Waukesha,Wisconsin,53188,262-548-7212,,,262-548-7379,hhs@waukeshacounty.gov,Elizabeth,Aldred,Director
"Waupaca County Department Of Health & Human Services",https://www.waupacacounty-wi.gov/,"811 Harding St",,Waupaca,Wisconsin,54981-2080,715-258-6300,,,715-258-6409,wcdhhs@co.waupaca.wi.us,Mary,Solheim,Director
"Waushara County Department of Human Services",https://www.co.waushara.wi.us/pView.aspx?id=12723&catid=636,"380 S. Townline Road",,Wautoma,Wisconsin,54982,920-787-6550,920-787-6550,,920-787-0421,HumanServices@wausharacountywi.gov,Clara,Voigtlander,Director
"Winnebago County Department of Human Services",https://www.co.winnebago.wi.us/human-services,"220 Washington Avenue","PO Box 2187",Oshkosh,Wisconsin,54903,920-236-4700,,,920-236-4607,dhs@winnebagocountywi.gov,Renee,Soroko,"Interim Director"
"Wood County Human Services Department",https://www.co.wood.wi.us/Departments/HumanServices/,"111 W. Jackson Street",,"Wisconsin Rapids",Wisconsin,54495,715-421-8600,,,715-421-8693,HumanServices@woodcountywi.gov,Brandon,Vruwink,Director
