FID,ogc_fid,id,@id,addr:city,addr:housenumber,addr:street,brand,brand:wikidata,building,building:levels,contact:phone,email,guest_house,height,int_name,internet_access,internet_access:fee,landuse,name,name:en,name:kk,name:ru,note,official_name,opening_hours,operator,phone,rooms,source,stars,tourism,website,wheelchair,geometry
export.12,12,node/506871119,node/506871119,,,,,,,,,,,,,,,,Жеке-Батыр,,,,,,,,,,,,hotel,,,POINT (70.259535 52.9773498)
export.13,13,node/506871120,node/506871120,,,,,,,,,,,,,,,,Жайлау,,,,,,,,,,,,hotel,,,POINT (70.2557759 52.9695601)
export.14,14,node/506871121,node/506871121,,,,,,,,,,,,,,,,Санаторий Светлый,,,,,,,,,,,,hotel,,,POINT (70.2525138 52.9669066)
export.15,15,node/763002797,node/763002797,,,,,,,,,,,,,,,,Gol. zaliv,,,,,,,,,,GPS,,hotel,,,POINT (70.2553954 53.0931448)
export.16,16,node/763002864,node/763002864,,,,,,,,,,,,,,,,Gloria,,,,,,,,,,,,hotel,,,POINT (70.3045418 53.0823867)
export.17,17,node/763002964,node/763002964,,,,,,,,,,,,,,,,Jumbactas,,,,,,,,,,,,hotel,,,POINT (70.3070375 53.0751427)
export.18,18,node/763003003,node/763003003,,,,,,,,,,,,,,,,Hansaya,,,,,,,,,,,,hotel,,,POINT (70.3063887 53.0789645)
export.19,19,node/763003178,node/763003178,,,,,,,,,,,,,,,,Kokshebel,,,,,,,,,,,,hotel,,,POINT (70.2916933 53.0866095)
export.20,20,node/763003208,node/763003208,,,,,,,,,,,,,,,,Nursat,,,Нурсат,,,,,,,,,hotel,,,POINT (70.3037871 53.0835932)
export.21,21,node/763003222,node/763003222,,,,,,,,,,,,,,,,Bereke,,,,,,,,,,,,hotel,,,POINT (70.3092113 53.0736152)
export.22,22,node/763003450,node/763003450,,,,,,,,,,,,,,,,Abylai,,,,,,,,,,GPS,,hotel,,,POINT (70.2484994 53.0904673)
export.23,23,node/880601656,node/880601656,,,,,,,,,,,,,,,,У Суюндыка,,,,,,,,,,,,guest_house,,,POINT (70.2939987 53.0905359)
export.24,24,node/880601679,node/880601679,,,,,,,,,,,,,wlan,,,В гостях у сказки,,,,,,,,,,,,guest_house,,limited,POINT (70.2951144 53.0919779)
export.25,25,node/915453741,node/915453741,,,,,,,,,,,,,,,,Окжетпес,,,,,,,,,,,,hotel,,,POINT (70.2440655 53.0836518)
export.26,26,node/1391137746,node/1391137746,,,,,,,,,,,,,no,no,,Алем+,,,Алем+,,,,,"+7(71630) 7-15-76,7-15-76, 7-10-01, 7-15-04",,,4,hotel,,,POINT (70.294744 53.0587005)
export.27,27,node/1393480838,node/1393480838,,,,,,,,,,,,,,,,Lafaette,,,,,,,,,,,,hotel,,,POINT (70.2959783 53.0605019)
export.28,28,node/1393487290,node/1393487290,,,,,,,,,,,,,,,,Рахат,,,,,,,,,,,,hotel,,,POINT (70.2964776 53.0588733)
export.29,29,node/4113552138,node/4113552138,,,,,,,,,,,,,,,,Арасан,,,,,,,,,,,,guest_house,https://arhey.kz/,,POINT (70.2993151 53.0858425)
export.30,30,node/4158709489,node/4158709489,,,,,,,,,,,,,,,,АЛТИН КУН,,,,,,,,,,,,hotel,,,POINT (70.3076031 53.0823161)
export.31,31,node/4304847918,node/4304847918,,,,,,,,,baybura@mail.ru,,,,wlan,,,БАЙ-БУРА,,,,,,24/7,,+77163690309,,,,hotel,,,POINT (70.2035653 53.0105311)
export.32,32,node/4331204789,node/4331204789,,,,,,,,,,,,,,,,Усадьба Смотрицких,,,,,,24/7,,,,,,guest_house,https://www.otdihvborovom.kz/,,POINT (70.3123991 53.0814823)
export.33,33,node/4338183692,node/4338183692,,,,,,house,,,,,,,,,,,,,,,,,Марзабай,+7 775 6997442,,,,guest_house,,,POINT (70.3068244 53.0912665)
export.34,34,node/4349018594,node/4349018594,,,,,,,,,,,,,wlan,,,Колибри,,,,,,24/7,,,,,,guest_house,,,POINT (70.3135863 53.0773281)
export.35,35,node/4394767003,node/4394767003,,,,,,,,,,,,,wlan,,,пансионат Жумбактас,,,,,"ТОО ""Пансионат ""Жумбактас""",24/7,,+77163690326,,,,hotel,,,POINT (70.1898327 53.0145981)
export.36,36,node/4706095990,node/4706095990,,,,,,,,,,,,,,,,,,,Дискавери боровое,,,,,,,,,hotel,,,POINT (70.412172 52.9706938)
export.37,37,node/4984277197,node/4984277197,,,,,,,,,,,,,,,,Береке,,,,,,,,,,,,hotel,,,POINT (70.1786256 52.9235906)
export.38,38,node/4992286799,node/4992286799,,,,,,,,,,,,,,,,ДО Континент,,,,,,,,,,,,hotel,,,POINT (70.409435 52.9542939)
export.39,39,node/4992296973,node/4992296973,,,,,,,,,,,,,,,,Лесная сказка гостиница,,,,,,,,,,,,hotel,,,POINT (70.3818244 52.9532791)
export.40,40,node/4992297118,node/4992297118,,,,,,,,,,,,,,,,Санаторий Приозерный,,,,,,,,,,,,hotel,,,POINT (70.395112 52.9492229)
export.41,41,node/6110978487,node/6110978487,,,,,,,,,,,,,,,,,,,домик в лесу Боровое,,,,,,,,,guest_house,,,POINT (70.1971325 53.0125719)
export.42,42,node/7765575585,node/7765575585,,18а,Набережная улица,,,,,,,,,,wlan,,,,Terrassa park hotel,,Террасса парк,,,24/7,,+77073707000,,,,hotel,,,POINT (70.2986544 53.0955635)
export.43,43,node/8879765317,node/8879765317,,,,,,,,,,,,,wlan,,,,Tumar Halal,,Тумар Халал,,,24/7,,+7 701 724 2242,,,,hotel,,,POINT (70.1984319 53.0141517)
export.44,44,node/10540811639,node/10540811639,,,,,,,,,,,,,,,,Апарт-отель Lake View,,,,,,,,,,,,hotel,,,POINT (70.31729 53.0937647)
export.45,45,node/10591082976,node/10591082976,,,,,,,,,,,,,,,,Джумбактас,,,,,,,,,,,,hotel,,,POINT (70.2970354 53.0881745)
export.46,46,node/10765318869,node/10765318869,,,,,,,,,,,,,,,,Теремок,,,,,,,,,,,,guest_house,,,POINT (70.3145908 53.0907688)
export.47,47,node/10765318871,node/10765318871,,,,,,,,,,,,,,,,Арна,,,,,,,,,,,,guest_house,,,POINT (70.3151165 53.0904483)
export.48,48,node/12780249531,node/12780249531,,,,,,,,,,,,,,,,,Forest Camp Hotel,,,,,,,,,,,hotel,,,POINT (70.2484455 52.9754912)
